No.,File Name,centroid1,centroid23,skew1,skew23,slope1,slope23,spread1,spread23,variance1,variance23
141,Wells_PilgerPoint_U_T2_015100_20140508_123000,4617.8564,4463.265,0.0103,0.0098,-3.0782,-3.1527,2.2961,2.2296,34041545.4545,33851450
142,Wells_PilgerPoint_U_T2_015100_20140512_120000,4970.1398,5230.07,0.0084,0.0062,-2.9084,-2.7831,2.4649,2.3497,35056188.6364,36426450
143,Wells_PilgerPoint_U_T2_015100_20140607_120000,5597.4332,5517.14,0.0053,0.0051,-2.606,-2.6447,1.9246,1.8411,38285909.0909,38517900
144,Wells_PilgerPoint_U_T2_015100_20140826_133000,3874.5766,3905.63,0.0168,0.0154,-3.4365,-3.4215,2.2474,2.1947,30489261.3636,31074250
145,Wells_PilgerPoint_U_T2_015100_20140903_110000,5711.923,5905.295,0.0061,0.0047,-2.5508,-2.4576,1.9444,1.7645,35930506.8182,36643250
146,Wells_PilgerPoint_U_T2_015100_20140904_113000,4029.0907,3908.15,0.0179,0.0164,-3.362,-3.4203,6.4788,1.943,29854000,30136950
147,Wells_PilgerPoint_U_T2_015100_20140905_113000,2426.293,2431.23,0.0478,0.0442,-4.1347,-4.1323,2.2858,2.0323,20907040.9091,21278650
148,Wells_PilgerPoint_U_T2_015100_20140912_113000,4824.908,4765.51,0.0094,0.0087,-2.9784,-3.007,1.7292,1.4718,36632834.0909,36983050
149,Wells_PilgerPoint_U_T2_015100_20141004_130000,3140.6907,3161.015,0.0302,0.0274,-3.7903,-3.7805,2.0547,1.9804,26462840.9091,26836100
150,Wells_PilgerPoint_U_T2_015100_20141010_110000,5589.7784,5611.335,0.0069,0.0058,-2.6097,-2.5993,1.7748,1.4786,37272131.8182,37693950
151,Wells_PilgerPoint_U_T2_015100_20141029_113000,4690.838,4510.425,0.0133,0.0106,-3.043,-3.13,1.9191,1.7792,35406931.8182,36238550
152,Wells_PilgerPoint_U_T2_015100_20141101_130000,4194.5507,4200.655,0.0207,0.0177,-3.2823,-3.2793,2.0234,1.5637,31075425,31591500
153,Wells_PilgerPoint_U_T3_015100_20140505_180000,2941.1318,2886.11,0.031,0.0263,-3.8865,-3.913,2.0993,1.8559,26901984.0909,27199550
154,Wells_PilgerPoint_U_T3_015100_20140507_200000,4428.247,4286.545,0.0127,0.013,-3.1696,-3.2379,1.7997,1.6669,33770370.4545,33748250
155,Wells_PilgerPoint_U_T3_015100_20140512_203000,3479.7055,3474.715,0.025,0.0247,-3.6269,-3.6293,2.2919,2.2096,26036425,26094200
156,Wells_PilgerPoint_U_T3_015100_20140607_203000,3876.092,3897.055,0.0165,0.0156,-3.4358,-3.4257,2.0328,1.9536,30940877.2727,31426650
157,Wells_PilgerPoint_U_T3_015100_20140620_193000,6020.5084,6073.245,0.0057,0.0052,-2.4021,-2.3766,1.8756,1.7459,33607354.5455,33661300
158,Wells_PilgerPoint_U_T3_015100_20140626_183000,4992.1445,5113.805,0.016,0.0151,-2.8978,-2.8391,2.0791,2.0269,23761675,23594800
159,Wells_PilgerPoint_U_T3_015100_20140810_183000,4751.195,4902.305,0.0099,0.0087,-3.0139,-2.9411,2.0459,1.8533,34651172.7273,34848600
160,Wells_PilgerPoint_U_T3_015100_20140813_190000,4486.4786,4606.64,0.1571,0.1543,-3.1415,-3.0836,83.5654,70.5131,18977347.7273,18808700
161,Wells_PilgerPoint_U_T3_015100_20140815_193000,5100.2795,5144.77,0.0087,0.0074,-2.8457,-2.8242,1.8809,1.7356,36204286.3636,36630500
162,Wells_PilgerPoint_U_T3_015100_20140819_183000,5652.0241,5623.62,0.0057,0.0055,-2.5797,-2.5934,1.7263,1.5767,38651443.1818,38957000
163,Wells_PilgerPoint_U_T3_015100_20140824_193000,4612.2118,4585.515,0.0104,0.0103,-3.0809,-3.0938,2.1299,1.8588,34465502.2727,34593800
164,Wells_PilgerPoint_U_T3_015100_20140826_203000,3635.9795,3596.995,0.0221,0.0207,-3.5515,-3.5703,2.1993,2.1571,27571604.5455,27522600
165,Wells_PilgerPoint_U_T3_015100_20140829_193000,3634.8052,3554.605,0.0196,0.019,-3.5521,-3.5908,1.9359,1.8104,30264300,30517600
166,Wells_PilgerPoint_U_T3_015100_20140830_193000,3934.7286,3911.81,0.0172,0.0169,-3.4075,-3.4186,2.0983,2.0871,30069409.0909,29923950
167,Wells_PilgerPoint_U_T3_015100_20140906_203000,5480.4441,5579.57,0.0122,0.0119,-2.6624,-2.6146,1.5048,1.452,25173795.4545,24955500
168,Wells_PilgerPoint_U_T3_015100_20140916_190000,3198.1611,3144.535,0.0261,0.0256,-3.7626,-3.7884,1.9982,1.8411,27656879.5455,27286050
169,Wells_PilgerPoint_U_T3_015100_20141007_183000,2720.7166,2719.555,0.0573,0.0518,-3.9927,-3.9933,3.2017,2.8336,19669475,19800450
